COD_ORGAO, SGL_ORGAO, MES, ANO, COD_UNIDADE_GOV, SGL_UNIDADE_GOV, COD_FONTE_RECURSO, NOM_FONTE_RECURSO, COD_NATUREZA, VL_ARRECADADA 
"32201","ADEMA","1","2018","322011","ADEMA          ","270000000","Recursos Diretamente Arrecadados","16100311","149157.58"
"32201","ADEMA","1","2018","322011","ADEMA          ","270000000","Recursos Diretamente Arrecadados","19909911","206443.01"
"13201","AGRESE","1","2018","132011","AGRESE         ","270000000","Recursos Diretamente Arrecadados","11210111","55431.79"
"01000","ALESE","1","2018","011011","ALESE          ","101000000","Tesouro - Recursos Ordinários","13210011","219.44"
"01000","ALESE","1","2018","011011","ALESE          ","101000000","Tesouro - Recursos Ordinários","16100211","233340"
"23000","CBM/SE","1","2018","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","16100111","213176.52"
"23000","CBM/SE","1","2018","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","11220111","11212.23"
"23000","CBM/SE","1","2018","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","13210011","28951.25"
"23000","CBM/SE","1","2018","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","19909911","8128.85"
"23000","CBM/SE","1","2018","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","19100111","50454.96"
"23000","CBM/SE","1","2018","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","16100311","460344.58"
"26301","CEHOP","1","2018","263011","CEHOP          ","207000000","Fundo de Promoção e Desenvolvimento do Esporte","16100111","160"
"26301","CEHOP","1","2018","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","13210011","265.68"
"26301","CEHOP","1","2018","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","16100111","5088.04"
"26301","CEHOP","1","2018","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","19229911","12602.92"
"26301","CEHOP","1","2018","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","13109911","550953.5"
"19301","CODISE","1","2018","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","13100111","266104.01"
"19301","CODISE","1","2018","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","13210011","4989.81"
"19301","CODISE","1","2018","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","19219911","558.22"
"19301","CODISE","1","2018","193011","CODISE         ","293000000","Alienação de Bens","13210011","26682.2"
"19301","CODISE","1","2018","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","19229911","200"
"26203","DER","1","2018","262031","DER/SE         ","270000000","Recursos Diretamente Arrecadados","13210011","1097.33"
"22201","DETRAN","1","2018","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16100311","2355568.78"
"22201","DETRAN","1","2018","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16100111","3398365.97"
"22201","DETRAN","1","2018","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","19100111","466237.48"
"22201","DETRAN","1","2018","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16909911","2949367.5"
"22201","DETRAN","1","2018","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","17481011","60532.02"
"28000","DPE","1","2018","281011","DPE            ","101000326","Contrapartida do Convênio AMPLIAÇÃO DE CONSOLIDAÇÃO DA REDE DE SERV - 0036.000761/2012-04","13210011","16.16"
"28000","DPE","1","2018","281011","DPE            ","101000325","Contrapartida do Convênio PROJETO IMPLANTAÇÃO DO NÚCLEO DE ATENDIME - 038/2012","13210011","12.09"
"28000","DPE","1","2018","284011","FUNDEPES       ","270000000","Recursos Diretamente Arrecadados","19901221","9034.63"
"28000","DPE","1","2018","281011","DPE            ","101000327","Contrapartida do Convênio ESTRUTURAÇÃO E FORTALECIMENTO DO NÚCLEO E - 00004.002651/2012-46","13210011","28.27"
"28000","DPE","1","2018","284011","FUNDEPES       ","270000000","Recursos Diretamente Arrecadados","13210011","3911.84"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","224005075","Convênio FORTALECER AS COMPETÊNCIAS JÁ EXISTENTES  - 821910/2015","13210011","2953.86"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","101005067","Contrapartida do Convênio CADASTRO DE TERRAS E REGULARIZAÇÃO FUNDIÁ - 825804/2015","13210011","7.72"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","224005067","Convênio CADASTRO DE TERRAS E REGULARIZAÇÃO FUNDIÁ - 825804/2015","13210011","69.53"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","13100111","250"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","13210011","63.33"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","16100111","201099.7"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","224005085","Convênio MUDAS FRUTÍFERAS - 811708/2014","13210011","0.29"
"17301","EMDAGRO","1","2018","173011","EMDAGRO        ","224005043","Convênio UNIDADE MÓVEL DE CADASTRO E REGULARIZAÇÃO - 781036/2012","13210011","3398.36"
"19302","EMSETUR","1","2018","193021","EMSETUR        ","120000014","Contrapartida do Convênio EXECUÇÃO DO PLANO DE MARKETING DO DESTINO - 724578/2009","13210011","28.38"
"19302","EMSETUR","1","2018","193021","EMSETUR        ","270000000","Recursos Diretamente Arrecadados","13109911","47259.37"
"19302","EMSETUR","1","2018","193021","EMSETUR        ","270000000","Recursos Diretamente Arrecadados","13210011","19.11"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000053","Convênio PROGRAMA DE APOIO A NUCLEO DE EXCELENCIA- - 700417/2008","13210011","356.42"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000054","Convênio PROGRAMA APOIO A NUCLEOS EMERGENTES DE PE - 746740/2010","17181091","278.23"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","120000362","Contrapartida do Convênio PROGRAMA DE APOIO À INOVAÇÃO NAS EMPRESAS - 0513016100","13210011","124.46"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","120000351","Contrapartida do Convênio GESTÃO COMPARTILHADA EM SAÚDE (PPSUS) - 61.0019/2012-0","13210011","766.59"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","120000058","Contrapartida do Convênio AÇÃO TRANSVERSAL ESTRUTURANTE - 2008 - 01.08.0498.00","13210011","9717.56"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000351","Convênio GESTÃO COMPARTILHADA EM SAÚDE (PPSUS) - 61.0019/2012-0","13210011","116.95"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000362","Convênio PROGRAMA DE APOIO À INOVAÇÃO NAS EMPRESAS - 0513016100","13210011","38.53"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000363","Convênio PROGRAMA DE APOIO À INOVAÇÃO TECNOLÓGICA  - 01.13.0160.00","13210011","254.57"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224005062","Convênio PRONEM - 794017/2013","13210011","2155.31"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224005063","Convênio PPP - 794043/2013","13210011","1833.38"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","120000055","Contrapartida do Convênio PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS P - 739182/2010","13210011","424.31"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","120000054","Contrapartida do Convênio PROGRAMA APOIO A NUCLEOS EMERGENTES DE PE - 746740/2010","13210011","343.89"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","120000053","Contrapartida do Convênio PROGRAMA DE APOIO A NUCLEO DE EXCELENCIA- - 700417/2008","13210011","346.12"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000058","Convênio AÇÃO TRANSVERSAL ESTRUTURANTE - 2008 - 01.08.0498.00","13210011","0.4"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","224000055","Convênio PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS P - 739182/2010","13210011","153.73"
"19203","FAPITEC","1","2018","192031","FAPITEC        ","101000363","Contrapartida do Convênio PROGRAMA DE APOIO À INOVAÇÃO TECNOLÓGICA  - 01.13.0160.00","13210011","178.15"
"15401","FDRH","1","2018","154011","FDRH           ","270000000","Recursos Diretamente Arrecadados","16909911","25283"
"15401","FDRH","1","2018","154011","FDRH           ","270000000","Recursos Diretamente Arrecadados","13210011","11135.27"
"24403","FEAS","1","2018","244031","FEAS           ","229000000","Transferência de Recursos do FNAS","13210011","11880.31"
"24403","FEAS","1","2018","244031","FEAS           ","270000000","Recursos Diretamente Arrecadados","13210011","6118.94"
"14401","FEHIS","1","2018","144011","FHIS           ","224000239","Convênio FNHIS - 249932-23/2008","13210011","2138.36"
"14401","FEHIS","1","2018","144011","FHIS           ","130000000","Recursos para o Fundo de Combate a Pobreza","13210011","1059.04"
"14401","FEHIS","1","2018","144011","FHIS           ","224000234","Convênio FNHIS - 249926-45/2008","13210011","2455.32"
"14401","FEHIS","1","2018","144011","FHIS           ","224000226","Convênio PAC/FNHIS - 233633-60/2007","13210011","241.55"
"14401","FEHIS","1","2018","144011","FHIS           ","224000225","Convênio FNHIS - 233.631-41/2007","13210011","1205.45"
"14401","FEHIS","1","2018","144011","FHIS           ","224000224","Convênio FHIS - 233.627-82/2007","13210011","287.85"
"20401","FES","1","2018","204011","FES            ","223000367","Convênio EDUCAÇÃO PERMANENTE DOS PROFISSIONAIS DA  - 45112/2012","13210011","4368.33"
"20401","FES","1","2018","204011","FES            ","223005059","Convênio AMPLIAÇÃO E FORTALECIMENTO DE AÇÕES E SER - 793020/2013","13210011","403.92"
"20401","FES","1","2018","204011","FES            ","223005060","Convênio QUALIFICAÇÃO DOS SERVIÇOS DE HEMATOLOGIA  - 792646/2013","13210011","1211.4"
"20401","FES","1","2018","204011","FES            ","223005061","Convênio CAPACITAÇÃO EM ATENÇÃO À SAÚDE DA PESSOA  - 800222/2014","13210011","712.49"
"20401","FES","1","2018","204011","FES            ","223000295","Convênio APOIO DE CRIANÇA E ADOLESCENTE - 0374127-17/2011","13210011","50664.7"
"20401","FES","1","2018","204011","FES            ","223000291","Convênio AMPLIAÇÃO DE UNIDADE DE SAÚDE - 0374013-41/2011","13210011","1979.74"
"20401","FES","1","2018","204011","FES            ","223000290","Convênio REFORMA DE UNIDADE DE SAÚDE - 0374015-61/2011","13210011","469.34"
"20401","FES","1","2018","204011","FES            ","223000288","Convênio REFORMA HOSPITALAR - 0374092-09/2011","13210011","251.09"
"20401","FES","1","2018","204011","FES            ","102000000","Receitas e Transferências de Impostos - Saúde","19909911","242695.71"
"20401","FES","1","2018","204011","FES            ","102000000","Receitas e Transferências de Impostos - Saúde","13210011","19.54"
"20401","FES","1","2018","204011","FES            ","214000000","Transferência de Recursos do SUS","13210011","63034.02"
"20401","FES","1","2018","204011","FES            ","214000000","Transferência de Recursos do SUS","17180311","19465093.96"
"20401","FES","1","2018","204011","FES            ","223000366","Convênio EDUCAÇÃO  DOS PROFISSIONAIS DA SAÚDE - 45090/2012","13210011","1271.13"
"20401","FES","1","2018","204011","FES            ","223000365","Convênio TELESSAUDE - 45775/2011","13210011","2181.95"
"20401","FES","1","2018","204011","FES            ","223000342","Convênio REFORMA DAS INSTALAÇÕES FÍSICAS DO PRONTO - 0389554-19/2012","13210011","2076.03"
"20401","FES","1","2018","204011","FES            ","223000341","Convênio REFORMA E READEQUAÇÃO DO SISTEMA DE REFRI - 0389555-24/2012","13210011","1882.76"
"20401","FES","1","2018","204011","FES            ","223000340","Convênio REFORMA DO HEMOCENTRO CORRDENADOR - 0398986-28/2012","13210011","2455.17"
"20401","FES","1","2018","204011","FES            ","223000339","Convênio REFORMA, ATUALIZAÇÃO TECNOLÓGICA E MODERN - 0389556-38/2012","13210011","3750.23"
"20401","FES","1","2018","204011","FES            ","223000296","Convênio HOSPITAL DE CANCER - 0374150-152011","13210011","158614.68"
"20401","FES","1","2018","204011","FES            ","223000315","Convênio ATENÇÃO BÁSICA SAÚDE - 0280554-07/2008","13210011","2525.7"
"20401","FES","1","2018","204011","FES            ","223000317","Convênio ATENÇÃO BÁSICA SAÚDE - 0280556-26/2008","13210011","1911.65"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","12180221","8002609.76"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","72180131","4261489.52"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","72180251","2950272.14"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","12100421","18876196.41"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","72180121","8922575.2"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","72180261","692.58"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","72180211","15393201.57"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","72100411","52065228.06"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","270000000","Recursos Diretamente Arrecadados","13210041","530.59"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180216","400482.66"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","11180213","1601930.67"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180215","298481.93"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","11180212","387948.88"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180218","96987.22"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","11180133","4995.28"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180135","999.06"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180212","154515.77"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180125","29.14"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180126","58.28"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","91180211","92709.46"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","11180123","147.06"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101000000","Tesouro - Recursos Ordinários","12100421","87038.43"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101000000","Tesouro - Recursos Ordinários","72100411","135464"
"37401","FINANPREV","1","2018","374011","FINANPREV      ","101001187","DIVIDA ATIVA TRIBUTARIA - LC 271","11180211","618063.06"
"16402","FINATE","1","2018","164021","FINATE         ","270000000","Recursos Diretamente Arrecadados","19100111","2467875.87"
"16402","FINATE","1","2018","164021","FINATE         ","270000000","Recursos Diretamente Arrecadados","11180213","553696.46"
"16402","FINATE","1","2018","164021","FINATE         ","270000000","Recursos Diretamente Arrecadados","13210011","223357.84"
"16402","FINATE","1","2018","164021","FINATE         ","270000000","Recursos Diretamente Arrecadados","11180123","161789.64"
"02401","FMTC/SE","1","2018","024011","FMTC/SE        ","101000000","Tesouro - Recursos Ordinários","13210011","15400.78"
"02401","FMTC/SE","1","2018","024011","FMTC/SE        ","270000000","Recursos Diretamente Arrecadados","19100711","12436.06"
"18201","FUNCAP/SE","1","2018","182011","FUNCAP         ","270000000","Recursos Diretamente Arrecadados","13210011","1074.26"
"18201","FUNCAP/SE","1","2018","182011","FUNCAP         ","270000000","Recursos Diretamente Arrecadados","19909911","16150.61"
"27401","FUNCART","1","2018","274011","FUNCART        ","209000000","Serviços Recreativos e Culturais","13210011","1693.65"
"27401","FUNCART","1","2018","274011","FUNCART        ","209000000","Serviços Recreativos e Culturais","19909911","13622.29"
"27401","FUNCART","1","2018","274011","FUNCART        ","270000000","Recursos Diretamente Arrecadados","19100111","7481.93"
"24404","FUNCEP","1","2018","244041","FUNCEP         ","130000000","Recursos para o Fundo de Combate a Pobreza","19909911","7741901.48"
"24404","FUNCEP","1","2018","244041","FUNCEP         ","224005036","Convênio MODERNIZAÇÃO DE UNIDADES DE APOIO A DISTR - 790645/2013","13210011","148.56"
